Termo;Descricão Padrão
1¼;"1.1/4"""
1.¼;"1.1/4"""
1 ¼;"1.1/4"""
"¼""";"1/2"""
¼;"1/2"""
nps 36;"36"""
nps 34;"34"""
nps 32;"32"""
nps 30;"30"""
nps 28;"28"""
nps 26;"26"""
nps 24;"24"""
nps 22;"22"""
nps 20;"20"""
nps 18;"18"""
nps 16;"16"""
nps 14;"14"""
nps 12;"12"""
nps 10;"10"""
nps 8;"8"""
nps 6;"6"""
nps 5;"5"""
nps 1.1/4;"1.1/4"""
nps 11/4;"1.1/4"""
nps 11/4;"1.1/4"""
nps 3/4;"3/4"""
nps 4;"4"""
nps 3;"3"""
nps 2.1/2;"2.1/2"""
nps 21/2;"2.1/2"""
nps 21/2;"2.1/2"""
nps 1.1/2;"1.1/2"""
nps 11/2;"1.1/2"""
nps 1 1/2;"1.1/2"""
nps 1/2;"1/2"""
nps 2;"2"""
nps 1;"1"""
nps 1/4;"1/2"""
36 polegada;"36"""
34 polegada;"34"""
32 polegada;"32"""
30 polegada;"30"""
28 polegada;"28"""
26 polegada;"26"""
24 polegada;"24"""
22poelgada;"22"""
20poelgada;"20"""
18 polegada;"18"""
16 polegada;"16"""
14 polegada;"14"""
12 poelgada;"12"""
10 poelgada;"10"""
8 poelgada;"8"""
6 poelgada;"6"""
5 poelgada;"5"""
1.1/4 polegada;"1.1/4"""
11/4 poelgada;"1.1/4"""
1 1/4 poelgada;"1.1/4"""
3/4 poelgada;"3/4"""
4 polegada;"4"""
3 polegada;"3"""
2.1/2 poelgada;"2.1/2"""
21/2 poelgada;"2.1/2"""
2 1/2 poolegada;"2.1/2"""
1.1/2 polegada;"1.1/2"""
11/2 polegada;"1.1/2"""
1 1/2 polegada;"1.1/2"""
1/2 polegada;"1/2"""
2 polegada;"2"""
1 polegada;"1"""
1/4 polegadas;"1/4"""
36 pol;"36"""
34 pol;"34"""
32 pol;"32"""
30 pol;"30"""
28 pol;"28"""
26 pol;"26"""
24 pol;"24"""
22poelgada;"22"""
20poelgada;"20"""
18 pol;"18"""
16 pol;"16"""
14 pol;"14"""
12 poelgada;"12"""
10 poelgada;"10"""
8 poelgada;"8"""
6 poelgada;"6"""
5 poelgada;"5"""
1.1/4 pol;"1.1/4"""
11/4 poelgada;"1.1/4"""
1 1/4 poelgada;"1.1/4"""
3/4 poelgada;"3/4"""
4 pol;"4"""
3 pol;"3"""
2.1/2 poelgada;"2.1/2"""
21/2 poelgada;"2.1/2"""
2 1/2 poolegada;"2.1/2"""
1.1/2 pol;"1.1/2"""
11/2 pol;"1.1/2"""
1 1/2 pol;"1.1/2"""
1/2 pol;"1/2"""
2 pol;"2"""
1 pol;"1"""
1/4 pol;"1/2"""
diam 36;"36"""
diam 34;"34"""
diam 32;"32"""
diam 30;"30"""
diam 28;"28"""
diam 26;"26"""
diam 24;"24"""
diam 22;"22"""
diam 20;"20"""
diam 18;"18"""
diam 16;"16"""
diam 14;"14"""
diam 12;"12"""
diam 10;"10"""
diam 8;"8"""
diam 6;"6"""
diam 5;"5"""
diam 1.1/4;"1.1/4"""
diam 11/4;"1.1/4"""
diam 11/4;"1.1/4"""
diam 3/4;"3/4"""
diam 4;"4"""
diam 3;"3"""
diam 2.1/2;"2.1/2"""
diam 21/2;"2.1/2"""
diam 21/2;"2.1/2"""
"diam 1.1/2""";"1.1/2"""
diam 11/2;"1.1/2"""
diam 1 1/2;"1.1/2"""
diam 1/2;"1/2"""
diam 2;"2"""
diam 1;"1"""
diam 1/4;"1/2"""
"diam 36""";"36"""
"diam 34""";"34"""
"diam 32""";"32"""
"diam 30""";"30"""
"diam 28""";"28"""
"diam 26""";"26"""
"diam 24""";"24"""
"diam 22""";"22"""
"diam 20""";"20"""
"diam 18""";"18"""
"diam 16""";"16"""
"diam 14""";"14"""
"diam 12""";"12"""
"diam 10""";"10"""
"diam 8""";"8"""
"diam 6""";"6"""
"diam 5""";"5"""
"diam 1.1/4""";"1.1/4"""
"diam 11/4""";"1.1/4"""
"diam 11/4""";"1.1/4"""
"diam 3/4""";"3/4"""
"diam 4""";"4"""
"diam 3""";"3"""
"diam 2.1/2""";"2.1/2"""
"diam 21/2""";"2.1/2"""
"diam 21/2""";"2.1/2"""
"diam 1.1/2""";"1.1/2"""
"diam 11/2""";"1.1/2"""
"diam 1 1/2""";"1.1/2"""
"diam 1/2""";"1/2"""
"diam 2""";"2"""
"diam 1""";"1"""
"diam 1/4""";"1/2"""
"0.75""";"3/4"""
"1.25""";"1.1/4"""
"1.5""";"1.1/2"""
"2.5""";"2.1/2"""
"diam36""";"36"""
"diam34""";"34"""
"diam32""";"32"""
"diam30""";"30"""
"diam28""";"28"""
"diam26""";"26"""
"diam24""";"24"""
"diam22""";"22"""
"diam20""";"20"""
"diam18""";"18"""
"diam16""";"16"""
"diam14""";"14"""
"diam12""";"12"""
"diam10""";"10"""
"diam8""";"8"""
"diam6""";"6"""
"diam5""";"5"""
"diam1.1/4""";"1.1/4"""
"diam1 1/4""";"1.1/4"""
"diam11/4""";"1.1/4"""
"diam3/4""";"3/4"""
"diam4""";"4"""
"diam3""";"3"""
"diam2.1/2""";"2.1/2"""
"diam2 1/2""";"2.1/2"""
"diam21/2""";"2.1/2"""
"diam1.1/2""";"1.1/2"""
"diam1 1/2""";"1.1/2"""
"diam11/2""";"1.1/2"""
"diam1/2""";"1/2"""
"diam2""";"2"""
"diam1""";"1"""
"diam1/4""";"1/2"""
diam 900;"36"""
diam 800;"32"""
diam 700;"28"""
diam 600;"24"""
diam 500;"20"""
diam 450;"18"""
diam 400;"16"""
diam 350;"14"""
diam 300;"12"""
diam 250;"10"""
diam 200;"8"""
diam 150;"6"""
diam 125;"5"""
diam 100;"4"""
diam 80;"3"""
diam 65;"2.1/2"""
diam 50;"2"""
diam 40;"1.1/2"""
diam 32;"1.1/4"""
diam 25;"1"""
diam 20;"3/4"""
diam 15;"1/2"""
diam 10;"1/2"""
diam900;"36"""
diam800;"32"""
diam700;"28"""
diam600;"24"""
diam500;"20"""
diam450;"18"""
diam400;"16"""
diam350;"14"""
diam300;"12"""
diam250;"10"""
diam200;"8"""
diam150;"6"""
diam125;"5"""
diam100;"4"""
diam80;"3"""
diam65;"2.1/2"""
diam50;"2"""
diam40;"1.1/2"""
diam32;"1.1/4"""
diam25;"1"""
diam20;"3/4"""
diam15;"1/2"""
diam10;"1/2"""
"2""1/2";"2.1/2"""
"2""1/2""";"2.1/2"""
"1""1/2""";"1.1/2"""
"1""1/2";"1.1/2"""
dn 160;"6"""
dn 140;"5"""
dn 110;"4"""
dn 85;"3"""
dn 75;"2.1/2"""
dn 60;"2"""
dn 50;"1.1/2"""
dn 40;"1.1/4"""
dn 32;"1"""
dn 25;"3/4"""
dn 20;"1/2"""
dn160;"6"""
dn140;"5"""
dn110;"4"""
dn85;"3"""
dn75;"2.1/2"""
dn60;"2"""
dn50;"1.1/2"""
dn40;"1.1/4"""
dn32;"1"""
dn25;"3/4"""
dn20;"1/2"""
diam 160;"6"""
diam 140;"5"""
diam 110;"4"""
diam 85;"3"""
diam 75;"2.1/2"""
diam 60;"2"""
diam 50;"1.1/2"""
diam 40;"1.1/4"""
diam 32;"1"""
diam 25;"3/4"""
diam 20;"1/2"""
diam160;"6"""
diam140;"5"""
diam110;"4"""
diam85;"3"""
diam75;"2.1/2"""
diam60;"2"""
diam50;"1.1/2"""
diam40;"1.1/4"""
diam32;"1"""
diam25;"3/4"""
diam20;"1/2"""
160 mm;"6"""
140 mm;"5"""
110 mm;"4"""
85 mm;"3"""
75 mm;"2.1/2"""
60 mm;"2"""
50 mm;"1.1/2"""
40 mm;"1.1/4"""
32 mm;"1"""
25 mm;"3/4"""
20 mm;"1/2"""
"x36""";"36"""
"x34""";"34"""
"x32""";"32"""
"x30""";"30"""
"x28""";"28"""
"x26""";"26"""
"x24""";"24"""
"x22""";"22"""
"x20""";"20"""
"x18""";"18"""
"x16""";"16"""
"x14""";"14"""
"x12""";"12"""
"x10""";"10"""
"x8""";"8"""
"x6""";"6"""
"x5""";"5"""
"x1.1/4""";"1.1/4"""
"x1 1/4""";"1.1/4"""
"x11/4""";"1.1/4"""
"x3/4""";"3/4"""
"x4""";"4"""
"x3""";"3"""
"x2.1/2""";"2.1/2"""
"x2 1/2""";"2.1/2"""
"x21/2""";"2.1/2"""
"x1.1/2""";"1.1/2"""
"x1 1/2""";"1.1/2"""
"x11/2""";"1.1/2"""
"x1/2""";"1/2"""
"x2""";"2"""
"x1""";"1"""
"x1/4""";"1/2"""
"x 36""";"36"""
"x 34""";"34"""
"x 32""";"32"""
"x 30""";"30"""
"x 28""";"28"""
"x 26""";"26"""
"x 24""";"24"""
"x 22""";"22"""
"x 20""";"20"""
"x 18""";"18"""
"x 16""";"16"""
"x 14""";"14"""
"x 12""";"12"""
"x 10""";"10"""
"x 8""";"8"""
"x 6""";"6"""
"x 5""";"5"""
"x 1.1/4""";"1.1/4"""
"x 1 1/4""";"1.1/4"""
"x 11/4""";"1.1/4"""
"x 3/4""";"3/4"""
"x 4""";"4"""
"x 3""";"3"""
"x 2.1/2""";"2.1/2"""
