Termo;Descrição Padrão
3 x 6mm2 + 6mm²;4C
3 x 10mm2 + 10mm²;4C
3/C#50MM² + 3/C#10MM²;4C
3/C#95MM² + 3/C#25MM²;4C
3 CONDUTORES, SEÇÃO 10 mm² + CONDUTOR CONCÊNTRICO, SEÇÃO 10 mm²;4C
3 CONDUTORES, SEÇÃO 70 mm² + CONDUTOR CONCÊNTRICO, SEÇÃO 35 mm²;4C
3 CONDUTORES, SEÇÃO 35 mm² + CONDUTOR CONCÊNTRICO, SEÇÃO 16 mm²;4C
3 CONDUTORES, SEÇÃO 120 mm² + CONDUTOR CONCÊNTRICO, SEÇÃO 70 mm²;4C
3 CONDUTORES, SEÇÃO 95 mm² + CONDUTOR CONCÊNTRICO, SEÇÃO 50 mm²;4C
3 CONDUTORES, SEÇÃO 4 mm² + CONDUTOR CONCÊNTRICO, SEÇÃO 4 mm²;4C
3X35+25/2mm² +1X10mm²;5C
2 x 1,00mm2;1 Par
3x1,0mm²;1 Trio
Número deTernas: 8;8 trio
Botoeira;Tempo
Interruptor;Tempo
Trifásico;Trifásico
Trifasico;Trifásico
Seco;Aberto
2500kVA;Aberto
13,8/0,38kV;Trifásico
2500kVA;Trifásico
13.800-480 V;Trifásico
13,8-0,48 kV;Trifásico
13,8 -0,4Kv;Trifásico
Curto;Curto
Longo;Longo
Vergalhão;Não Aplicável
Chumbador;Não Aplicável
Barra Roscada;Não Aplicável
Para leito;Leito
Para Eletrocalha;Eletrocalha
Contrátil;Termocontrátil
Contratil;Termocontrátil
Compressão;Compressão
Bucha;Pesado
Eletroduto;Pesado
Kanaflex;Leve
2 (dois) Condutores;2C
3 (três) Condutores;3C
4 (quatro) Condutores;4C
5 (cinco) Condutores;5C
7 (sete) Condutores;7C
9 (nove) Condutores;9C
10 (dez) Condutores;10C
12 (doze) Condutores;12C
15 (quinze) Condutores;15C
19 (dezenove) Condutores;19C
24 (vinte e quatro) Condutores;24C
Tampa;Leve
Curva Horizontal;Leve
Curva Vertical Interna;Leve
Curva Vertical Externa;Leve
“T” horizontal;Leve
Redução;Leve
Flexível;Tempo
Condutor;1C
Rede;2 Par
Flexivel;Tempo
Estanhado;Compressão
2kVA;Trifásico
Blindado;Tempo
Curva Interna;Leve
Curva Externa;Leve
Número de pares, ternas ou quadras: 1;1 Par
Número de pares, ternas ou quadras: 2;2 Par
Número de pares, ternas ou quadras: 4;4 Par
 24 a 36 pares;24 Par
3 Núcleos;3C
2Pr;2C
Barra;Alta Camada
Suporte;Simples
Profibus;2C
Aramado;Leve
Vergalhão;Leve
Alumínio;Sch 40
Aluminio;Sch 40
Abraçadeira;Pesado
Inox;Sch 40s
Vetrical;Vertical
2 + PE;2C
Lateral;Vertical
18x;18C
6 Vias;6C
Saída Simples;Horizontal
PEAD;Leve
Eletroduto corrugado fabricado em PVC;Tempo
Grampo Galvanizado;Conector
20 x;20C
Braçadeira;Pesado
Semi-Pesado;Semi Pesado
3X10,0MM² + 10,0MM²;4C
Grampo U;Pesado
seal tubo;Tempo
Caixa, Derivacao;Tempo
Caixa de Passagem;Tempo
Flexíveis;Tempo
Duto aéreo perfurado;Leve
Unidade Seladora;Pesado
Polietileno de Alta Densidade;Leve
Semi - Pesado;Semi Pesado
15kV;A Frio
600V;Compressão
1000V;Compressão
800V;Compressão
Conector;Simples
Haste;Alta Camada
Dois Cabos;Duplo
Tipo KS;Split Bolt
Exotérmico;Solda Exotérmica
Exotermica;Solda Exotérmica
13,8kV/380;Trifásico
13,8/0,44kV;Trifásico
13,8/0,48kV;Trifásico
2500kVA;Aberto
Transformador;Trifásico
Nylon;Não Aplicável
3x25 + 16;4C
3x16 + 16;4C
3x6 + 6;4C
6 Condutores;6C
3x25 mm2+1x16mm2;4C
3/C#50+1/C#25mm²;4C
2x(2x1,0;2 Par
1x(2x1,0;1 Par
3/C#16+1/C#16;4C
3x70mm2+35mm2;4C
x35mm2+16mm2;4C
Kanaflex;Leve
Vertrical;Vertical
Saida Simples;Horizontal
Semi- Pesado;Semi Pesado
"Grampo ""U""";Pesado
12/20 kV;A Frio
Dois Cabo;Duplo
Pó de Solda;Solda Exotérmica
Exo:ermica;Solda Exotérmica
2500 kVA;Aberto
3x6 mm2+1x6mm2;4C
Par simples;1 Par
Terna Simples;1 Trio
HDPE;Leve
Leito;Leito
Ganhco Longo;Longo
Kanalex;Leve
Caixa de Alumínio;Tempo
Grampo Tipo U;Pesado
Eletroduto corrugado reforçado fabricado em pvc;Tempo
15 kV;A Frio
Caixa de Aluminio;Tempo
Tirante;Não Aplicável
2x1 mm²;1 Par
1,0 mm²;1 Par
Curva 90°;Pesado
Suporte Luminária;Curto
Pino;Ilhós
Ilhós;Ilhós
Luva de Redução;Pesado
Niple;Pesado
Caixa de Junção;Tempo
Caixa para Perfilado;Perfilado
Bloco Autônomo;Tempo
BLOCO DE ILUMINAÇÃO;Tempo
União;Pesado
Conector para Cabos;Compressão
Suporte Luminaria;Curto
Mão Francesa;Leito
Caixa, Perfilado;Perfilado
6000 psi;6000 lbs
6000psi;6000 lbs
3000psi;3000 lbs
# 6000;6000 lbs
# 3000;3000 lbs
#6000;6000 lbs
#3000;3000 lbs
Caixa para tomada;Perfilado
1,0 mm;1,0 mm
1,24 mm;1,24 mm
0,89 mm;0,89 mm
Conector Compressão;6000 lbs
Tubing;0,89 mm
Multifibras;Multimodo
Multimodo;Multimodo
SM;Monomodo
Cabo Óptico;Multimodo
Fibra Óptica;Multimodo
Fibra ótica;Multimodo
Fibra Optica;Multimodo
Conector Compressao;6000 lbs
Conector Macho;6000 lbs
A182;6000 lbs
A276;6000 lbs
Insert;6000 lbs
Monomodo;Monomodo
1,25 mm;1,24 mm
"0,049""";1,24 mm
CLASSE DE PRESSÃO 3700;3000 lbs
3000 psi;3000 lbs
swagelok;6000 lbs
6500#;6000 lbs
6000#;6000 lbs
Multipla;6000 lbs
1,24mm;1,24 mm
