Termo;Descrição Padrão
1x25mm²;1C
1x35mm²;1C
1x50mm²;1C
1x70mm²;1C
1x95mm²;1C
1x120mm²;1C
1x150mm²;1C
1x185mm²;1C
1x240mm²;1C
1x300mm²;1C
1x400mm²;1C
1x500mm²;1C
1x1,5mm²;1C
1x2,5mm²;1C
1x1.5mm²;1C
1x2.5mm2;1C
1x4mm2;1C
1x6mm2;1C
1x10mm2;1C
1x16mm2;1C
1x25mm2;1C
1x35mm2;1C
1x50mm2;1C
1x70mm2;1C
1x95mm2;1C
1x120mm2;1C
1x150mm2;1C
1x185mm2;1C
1x240mm2;1C
1x300mm2;1C
1x400mm2;1C
1x500mm2;1C
1x 1.5 mm²;1C
1x 2.5 mm²;1C
1x 4 mm²;1C
1x 6 mm²;1C
1x 10 mm²;1C
1x 16 mm²;1C
1x 25 mm²;1C
1x 35 mm²;1C
1x 50 mm²;1C
1x 70 mm²;1C
1x 95 mm²;1C
1x 120 mm²;1C
1x 150 mm²;1C
1x 185 mm²;1C
1x 240 mm²;1C
1x 300 mm²;1C
1x 400 mm²;1C
1x 500 mm²;1C
1x 1,5 mm²;1C
1x 2,5 mm²;1C
1x 4 mm2;1C
1x 6 mm2;1C
1x 10 mm2;1C
1x 16 mm2;1C
1x 25 mm2;1C
1x 35 mm2;1C
1x 50 mm2;1C
1x 70 mm2;1C
1x 95 mm2;1C
1x 120 mm2;1C
1x 150 mm2;1C
1x 185 mm2;1C
1x 240 mm2;1C
1x 300 mm2;1C
1x 400 mm2;1C
1x 500 mm2;1C
1x 1.5mm²;1C
1x 2.5mm²;1C
1x 4mm²;1C
1x 6mm²;1C
1x 10mm²;1C
1x 16mm²;1C
1x 25mm²;1C
1x 35mm²;1C
1x 50mm²;1C
1x 70mm²;1C
1x 95mm²;1C
1x 120mm²;1C
1x 150mm²;1C
1x 185mm²;1C
1x 240mm²;1C
1x 300mm²;1C
1x 400mm²;1C
1x 500mm²;1C
1x 1,5mm²;1C
1x 2,5mm²;1C
1x 1.5mm²;1C
1x 2.5mm2;1C
1x 4mm2;1C
1x 6mm2;1C
1x 10mm2;1C
1x 16mm2;1C
1x 25mm2;1C
1x 35mm2;1C
1x 50mm2;1C
1x 70mm2;1C
1x 95mm2;1C
1x 120mm2;1C
1x 150mm2;1C
1x 185mm2;1C
1x 240mm2;1C
1x 300mm2;1C
1x 400mm2;1C
1x 500mm2;1C
1 x 1.5 mm²;1C
1 x 2.5 mm²;1C
1 x 4 mm²;1C
1 x 6 mm²;1C
1 x 10 mm²;1C
1 x 16 mm²;1C
1 x 25 mm²;1C
1 x 35 mm²;1C
1 x 50 mm²;1C
1 x 70 mm²;1C
1 x 95 mm²;1C
1 x 120 mm²;1C
1 x 150 mm²;1C
1 x 185 mm²;1C
1 x 240 mm²;1C
1 x 300 mm²;1C
1 x 400 mm²;1C
1 x 500 mm²;1C
1 x 1,5 mm²;1C
1 x 2,5 mm²;1C
1 x 4 mm2;1C
1 x 6 mm2;1C
1 x 10 mm2;1C
1 x 16 mm2;1C
1 x 25 mm2;1C
1 x 35 mm2;1C
1 x 50 mm2;1C
1 x 70 mm2;1C
1 x 95 mm2;1C
1 x 120 mm2;1C
1 x 150 mm2;1C
1 x 185 mm2;1C
1 x 240 mm2;1C
1 x 300 mm2;1C
1 x 400 mm2;1C
1 x 500 mm2;1C
1 x 1.5mm²;1C
1 x 2.5mm²;1C
1 x 4mm²;1C
1 x 6mm²;1C
1 x 10mm²;1C
1 x 16mm²;1C
1 x 25mm²;1C
1 x 35mm²;1C
1 x 50mm²;1C
1 x 70mm²;1C
1 x 95mm²;1C
1 x 120mm²;1C
1 x 150mm²;1C
1 x 185mm²;1C
1 x 240mm²;1C
1 x 300mm²;1C
1 x 400mm²;1C
1 x 500mm²;1C
1 x 1,5mm²;1C
1 x 2,5mm²;1C
1 x 1.5mm²;1C
1 x 2.5mm2;1C
1 x 4mm2;1C
1 x 6mm2;1C
1 x 10mm2;1C
1 x 16mm2;1C
1 x 25mm2;1C
1 x 35mm2;1C
1 x 50mm2;1C
1 x 70mm2;1C
1 x 95mm2;1C
1 x 120mm2;1C
1 x 150mm2;1C
1 x 185mm2;1C
1 x 240mm2;1C
1 x 300mm2;1C
1 x 400mm2;1C
1 x 500mm2;1C
1 x 1.5 mm²;1C
1 x 2.5 mm²;1C
1 x 4 mm²;1C
1 x 6 mm²;1C
1 x 10 mm²;1C
1 x 16 mm²;1C
1 x 25 mm²;1C
1 x 35 mm²;1C
1 x 50 mm²;1C
1 x 70 mm²;1C
1 x 95 mm²;1C
1 x 120 mm²;1C
1 x 150 mm²;1C
1 x 185 mm²;1C
1 x 240 mm²;1C
1 x 300 mm²;1C
1 x 400 mm²;1C
1 x 500 mm²;1C
1 x 1,5 mm²;1C
1 x 2,5 mm²;1C
1 x 4 mm2;1C
1 x 6 mm2;1C
1 x 10 mm2;1C
1 x 16 mm2;1C
1 x 25 mm2;1C
1 x 35 mm2;1C
1 x 50 mm2;1C
1 x 70 mm2;1C
1 x 95 mm2;1C
1 x 120 mm2;1C
1 x 150 mm2;1C
1 x 185 mm2;1C
1 x 240 mm2;1C
1 x 300 mm2;1C
1 x 400 mm2;1C
1 x 500 mm2;1C
1 x 1.5mm²;1C
1 x 2.5mm²;1C
1 x 4mm²;1C
1 x 6mm²;1C
1 x 10mm²;1C
1 x 16mm²;1C
1 x 25mm²;1C
1 x 35mm²;1C
1 x 50mm²;1C
1 x 70mm²;1C
1 x 95mm²;1C
1 x 120mm²;1C
1 x 150mm²;1C
1 x 185mm²;1C
1 x 240mm²;1C
1 x 300mm²;1C
1 x 400mm²;1C
1 x 500mm²;1C
1 x 1,5mm²;1C
1 x 2,5mm²;1C
1 x 1.5mm²;1C
1 x 2.5mm2;1C
1 x 4mm2;1C
1 x 6mm2;1C
