Termo;Descrição Padrão
"ARGURA 800mmX400mm; ABA 100mm";800 x 100
"LARGURA 100mmX100mm; ABA 100mm";100 x 100
"LARGURA 200mmX200mm; ABA 100mm";200 x 100
"LARGURA 300mmX300mm; ABA 100mm";300 x 100
"LARGURA 400mmX400mm; ABA 100mm";400 x 100
"LARGURA 500mmX500mm; ABA 100mm";500 x 100
"LARGURA 600mmX600mm; ABA 100mm";600 x 100
"LARGURA 800mmX800mm; ABA 100mm";800 x 100
"LARGURA 1000mmX1000mm; ABA 100mm";1000 x 100
"LARGURA 1200mmX1200mm; ABA 100mm";1200 x 100
2.50 mm²;2,5
2,50 mm²;2,5
2.50 mm2;2,5
2.50mm²;2,5
2,50mm²;2,5
2.50mm2;2,5
M12;"1/2"""
M20;"3/4"""
M25;"1"""
M32;"1.1/4"""
M40;"1.1/2"""
M50;"2"""
M65;"2.1/2"""
M75;"3"""
M100;"4"""
M150;"6"""
50 mm/ altura 50 mm;50 x 50
100 mm/ altura 50 mm;100 x 50
200 mm/ altura 50 mm;200 x 50
300 mm/ altura 50 mm;300 x 50
400 mm/ altura 50 mm;400 x 50
100 mm / altura 100 mm;100 x 100
200 mm / altura 100 mm;200 x 100
300 mm / altura 100 mm;300 x 100
400 mm / altura 100 mm;400 x 100
500 mm / altura 100 mm;500 x 100
600 mm / altura 100 mm;600 x 100
800 mm / altura 100 mm;800 x 100
1000 mm / altura 100 mm;1000 x 100
1200 mm / altura 100 mm;1200 x 100
50MM X 50MM;50 x 50
50MM X 100MM;100 x 50
50MM X 200MM;200 x 50
50MM X 300MM;300 x 50
50MM X 400MM;400 x 50
50,00 X 50,00;50 x 50
100,00 X 50,00;100 x 50
200,00 X 50,00;200 x 50
300,00 X 50,00;300 x 50
400,00 X 50,00;400 x 50
100,00 X 100,00;100 x 100
200,00 X 100,00;200 x 100
300,00 X 100,00;300 x 100
400,00 X 100,00;400 x 100
500,00 X 100,00;500 x 100
600,00 X 100,00;600 x 100
800,00 X 100,00;800 x 100
1000,00 X 100,00;1000 x 100
1200,00 X 100,00;1200 x 100
50mm (LARG) X 50mm;50 x 50
200mm (LARG) X 50mm;100 x 50
300mm (LARG) X 50mm;200 x 50
100mm (LARG) X 50mm;300 x 50
100mm (LARG) X 50mm;400 x 50
100mm (LARG) X 100mm;100 x 100
200mm (LARG) X 100mm;200 x 100
300mm (LARG) X 100mm;300 x 100
400mm (LARG) X 100mm;400 x 100
500mm (LARG) X 100mm;500 x 100
600mm (LARG) X 100mm;600 x 100
800mm (LARG) X 100mm;800 x 100
1000mm (LARG) X 100mm;1000 x 100
1200mm (LARG) X 100mm;1200 x 100
50x100;100 x 50
50x200;200 x 50
50x300;300 x 50
50x400;400 x 50
largura de 100 mm;100 x 100
largura de 200 mm;200 x 100
largura de 300 mm;300 x 100
largura de 400 mm;400 x 100
largura de 500 mm;500 x 100
largura de 600 mm;600 x 100
largura de 800 mm;800 x 100
largura de 100 mm;1000 x 100
largura de 100 mm;1200 x 100
largura de 100 mm;100 x 100
largura de 200 mm;200 x 100
largura de 300 mm;300 x 100
largura de 400 mm;400 x 100
largura de 500 mm;500 x 100
largura de 600 mm;600 x 100
largura de 800 mm;800 x 100
largura de 1000 mm;1000 x 100
largura de 1200 mm;1200 x 100
100mmx3000mm;100 x 100
200mmx3000mm;200 x 100
300mmx3000mm;300 x 100
400mmx3000mm;400 x 100
500mmx3000mm;500 x 100
600mmx3000mm;600 x 100
800mmx3000mm;800 x 100
1000mmx3000mm;1000 x 100
1200mmx3000mm;1200 x 100
DIM= 100mm;100 x 100
DIM= 200mm;200 x 100
DIM= 300mm;300 x 100
DIM= 400mm;400 x 100
DIM= 500mm;500 x 100
DIM= 600mm;600 x 100
DIM= 800mm;800 x 100
DIM= 1000mm;1000 x 100
DIM= 1200mm;1200 x 100
ABA 50mm, LARGURA 50mm;50 x 50
38mm x 19 mm;19 x 38
LARG. 150mm, ALT. DE ABA 100mm;150 x 100
LARG. 100mm, ALT. DE ABA 100mm;100 x 100
LARG. 200mm, ALT. DE ABA 100mm;200 x 100
LARG. 300mm, ALT. DE ABA 100mm;300 x 100
LARG. 400mm, ALT. DE ABA 100mm;400 x 100
LARG. 500mm, ALT. DE ABA 100mm;500 x 100
LARG. 600mm, ALT. DE ABA 100mm;600 x 100
LARG. 800mm, ALT. DE ABA 100mm;800 x 100
LARG. 1000mm, ALT. DE ABA 100mm;1000 x 100
LARG. 1200mm, ALT. DE ABA 100mm;1200 x 100
LARG. 50mm, ALT. DE ABA 50mm;50 x 50
LARG. 100mm, ALT. DE ABA 50mm;100 x 50
LARG. 200mm, ALT. DE ABA 50mm;200 x 50
LARG. 300mm, ALT. DE ABA 50mm;300 x 50
LARG.4100mm, ALT. DE ABA 50mm;400 x 50
3/4 pol;"3/4"""
ABA 50mm, LARGURA 50mm;50 x 50
Larg. 150mm - Aba 100mm ;150 x 100
Larg. 100mm - Aba 100mm ;100 x 100
Larg. 200mm - Aba 100mm ;200 x 100
Larg. 300mm - Aba 100mm ;300 x 100
Larg. 400mm - Aba 100mm ;400 x 100
Larg. 500mm - Aba 100mm ;500 x 100
Larg. 600mm - Aba 100mm ;600 x 100
Larg. 800mm - Aba 100mm ;800 x 100
Larg. 1000mm - Aba 100mm ;1000 x 100
Larg.1200mm - Aba 100mm ;1200 x 100
Larg. 50mm - Aba 50mm ;50 x 50
Larg. 100mm - Aba 50mm ;100 x 50
Larg. 200mm - Aba 50mm ;200 x 50
Larg. 300mm - Aba 50mm ;300 x 50
Larg. 400mm - Aba 50mm ;400 x 50
Largura=100mm;200 x 100
Largura=200mm;300 x 100
Largura=300mm;400 x 100
Largura=400mm;500 x 100
Largura=500mm;600 x 100
Largura=600mm;800 x 100
Largura=800mm;1000 x 100
Largura.= 100mm;200 x 100
Largura.= 200mm;300 x 100
Largura.= 300mm;400 x 100
Largura.= 400mm;500 x 100
Largura.= 500mm;600 x 100
Largura.= 600mm;800 x 100
Largura.= 800mm;1000 x 100
3C#4Mm2+1C#4;4
3C#10Mm2+1C#10;10
3C#6Mm2+1C#6;6
3C#16Mm2+1C#16;16
3x50mm2 + T#25mm2;50
(3x120mm2) + T#120mm2;120
3x50mm2 + T#25mm2;50
3x70mm2 + T#35mm2;70
3x240mm2) + T#240mm2;240
3x35mm2 + T#16mm2 ;35
3x70mm2 + T#35mm2;70
 3x95mm2 + T#50mm2;95
3x120mm2 + T#70mm2;120
3x120mm2 + T#50mm2;120
(3x120mm2) + T#120mm2;120
(3x240mm2) + 2xT#240;240
4C x 6 mm2 + 1T x 6 mm2;6
4C x 4 mm2 + 1T x 4 mm2;4
4C x 16 mm2 + 1T x 16 mm2;16
4C x 10 mm2 + 1T x 10 mm2;10
3 X150  mm² + 1 T x  95 mm²;150
3x#240mm2+T # 120mm2;240
3 X240  mm² + 1 T x 120 mm²;240
3 X150 mm² + 1 T x 120 mm²;150
3 X150 mm² + 1 T x 95 mm²;150
3x#16mm2+T # 16mm2;16
3 X70  mm² + 1 T x 35 mm²;70
3 X70 mm² + 1 T X35 mm²;70
3 X120 mm² + 1 T 70 mm²;120
3x#16mm2+T # 16mm2;16
3x#95mm2+T # 50mm2 ;95
3 X 35  mm² + 1 T x 16 mm²;35
3F+1T#4mm²;4
3F+1T#35mm²;35
3F+1T#2,5mm²;2,5
3F+1T#6mm²;6
3F+1T#25mm²;25
3 x 16 mm2 + 16 mm2;16
3 x 25 mm2 + 25 mm2;25
3 x 35 mm2 + 35 mm2;35
1 x 70 mm2 + 35 mm2;70
1 x 120 mm2 + 70 mm2;120
1 x 150 mm2 + 95 mm2;150
3 x 185mm² + 95mm²;185
3 x 50mm² + 1 x 25mm²;50
3 x 70mm² + 1 x 35mm²;70
3x10mm² + 1x10mm²;10
3x6,0mm² + 1x6,0mm²;6
3x2,5mm² + 1x2,5mm²;2,5
3x4,0mm² + 1x4,0mm²;4
3 X 10 mm² +10mm2;10
3 X 2,5 mm² +2,5mm2;2,5
3 X 4,0 mm² + 4mm2;4
3 X 6 mm² +6mm2;6
3 X 25,0 mm² +16,0mm2;25
3 X 35,0 mm² +16,0mm2 ;35
3 X 6,0 mm² + 6,0mm2 ;6
3 X 70,0 mm² + 35,0mm2;70
2 X 10,0 mm² +10,0mm2 ;10
2 X 16,0 mm² +16,0mm2;16
2 X 2,5 mm² +2,5mm2;2,5
2 X 35,0 mm² +16,0mm2;35
2 X 35,0 mm² +16,0mm2;35
2 X 6,0 mm² +6,0mm2;6
2 X 70,0 mm² +35,0mm2;70
3 X 10,0 mm² +10,0mm2;10
3 X 150,0 mm² +70,0mm2;150
3 X 16,0 mm² + 16,0mm2;16
3 x 2,5 + 2,5mm2;2,5
3 x 25 + 16mm2;25
3#95MM² + #50MM²;95
3#16MM² + #16MM²;16
3#10MM² + #10MM²;19
3x16,0 +16,0;16
3x2,5 +2,5;2,5
3x6,0 +6,0;6
3/C#120mm²+70;120
3/C#150mm²+95;150
3/C#185mm²+95;185
3/C#240mm²+120;240
3/C#50mm²+25;50
3/C#6mm²+6;6
3/C#70mm²+35;70
3/C#95mm²+50;95
(3x#16+16mm²;16
3x#2,5+2,5mm²;2,5
3x#25 + 16mm²;25
3x#4,0 + 4,0mm²;4
3x#50 + 25mm²;50
3x#6,0 + 6,0mm²;6
3x16+16mm²;16
3x2,5+2,5mm²;2,5
3x25+16mm²;25
3x4,0+4,0mm²;4
3x50+25mm²;50
3x6,0+6,0mm²;6
3C+E/0016;16
3C+E/002.5;2,5
3C+E/0025;25
3C+E/004;4
3C+E/006;6
3C+E/0095;95
3 x 6 + 6mm2;6
3 x 120 + 70mm2;120
3 x 120 mm² + condutor concêntrico seção 70 mm²;120
 3 x 4 mm² + condutor concêntrico seção 4 mm²;4
 3 x 70 mm² + condutor concêntrico seção 35 mm²;70
4,0mm2;4
6,0mm2;6
10,0mm2;10
16,0mm2;16
25,0mm2;25
35,0mm2;35
50,0mm2;50
70,0mm2;70
95,0mm2;95
120,0mm2;120
150,0mm2;150
185,0mm2;185
240,0mm2;240
300,0mm2;300
400,0mm2;400
500,0mm2;500
4,0 mm2;4
6,0 mm2;6
10,0 mm2;10
16,0 mm2;16
25,0 mm2;25
35,0 mm2;35
50,0 mm2;50
70,0 mm2;70
95,0 mm2;95
120,0 mm2;120
150,0 mm2;150
185,0 mm2;185
240,0 mm2;240
300,0 mm2;300
400,0 mm2;400
500,0 mm2;500
4.0mm2;4
6.0mm2;6
10.0mm2;10
16.0mm2;16
25.0mm2;25
35.0mm2;35
50.0mm2;50
70.0mm2;70
95.0mm2;95
120.0mm2;120
150.0mm2;150
185.0mm2;185
240.0mm2;240
300.0mm2;300
400.0mm2;400
500.0mm2;500
4.0 mm2;4
6.0 mm2;6
10.0 mm2;10
16.0 mm2;16
25.0 mm2;25
35.0 mm2;35
50.0 mm2;50
70.0 mm2;70
95.0 mm2;95
120.0 mm2;120
150.0 mm2;150
185.0 mm2;185
240.0 mm2;240
300.0 mm2;300
400.0 mm2;400
500.0 mm2;500
3X25,0MM² + 16,0MM²;25
3X35,0MM² + 16,0MM²;35
3X150,0MM² + 95,0MM²;150
3X185,0MM² + 95,0MM²;185
3X240,0MM² + 120,0MM²;240
3x6,0+6,0mm²;6
3 x 25mm² + 16mm²;25
(3/C #150 + 1/C #95) mm2;150
(3/C #120 + 1/C #70) mm2;120
(3/C #25 + 1/C #16) mm2;25
(3/C #185 + 1/C #95) mm2;185
(3/C #95 + 1/C #50) mm2;95
(3/C #185 + 1/C #95) mm2;185
(3/C #35 + 3/C #10) mm2;35
(3/C #70 + 3/C #16);70
M 12;"1/2"""
M 20;"3/4"""
M 25;"1"""
M 32;"1.1/4"""
M 40;"1.1/2"""
M 50;"2"""
M 65;"2.1/2"""
M 75;"3"""
M 100;"4"""
M 150;"6"""
1000x500x100;1000 x 100
0,5 pol;"1/2"""
0,75 pol;"3/4"""
1,5 pol;"1.1/2"""
1,25 pol;"1.1/4"""
0,5pol;"1/2"""
0,75pol;"3/4"""
1,5pol;"1.1/2"""
1,25pol;"1.1/4"""
0.5 pol;"1/2"""
0.75 pol;"3/4"""
1.5 pol;"1.1/2"""
1.25 pol;"1.1/4"""
0.5pol;"1/2"""
0.75pol;"3/4"""
1.5pol;"1.1/2"""
1.25pol;"1.1/4"""
200 mm;200 x 100
300 mm;300 x 100
400 mm;400 x 100
500 mm;500 x 100
600 mm;600 x 100
800 mm;800 x 100
1000 x 100;1000 x 100
200mm;200 x 100
300mm;300 x 100
400mm;400 x 100
500mm;500 x 100
600mm;600 x 100
800mm;800 x 100
1000x100;1000 x 100
150x100x50;150 x 50
100x150x50;150 x 50
300X200MM E H=100MM;300 x 100
300X150MM E H=100MM;300 x 100
500X300MM E H=100MM;500 x 100
A=200MM, 300X100MM;300 x 100
100mm x100mm;100 x 100
"LARGURA: 100,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";100 x 100
"LARGURA: 200,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";200 x 100
"LARGURA: 300,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";300 x 100
"LARGURA: 400,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";400 x 100
"LARGURA: 500,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";500 x 100
"LARGURA: 600,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";600 x 100
"LARGURA: 800,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";800 x 100
"LARGURA: 1000,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";1000 x 100
"LARGURA: 50,00 MM; ABA: COM; ALTURA DA ABA: 50,00 MM";50 x 50
"LARGURA: 100,00 MM; ABA: COM; ALTURA DA ABA: 50,00 MM";100 x 50
"LARGURA: 200,00 MM; ABA: COM; ALTURA DA ABA: 50,00 MM";200 x 50
"LARGURA: 300,00 MM; ABA: COM; ALTURA DA ABA: 50,00 MM";300 x 50
"LARGURA: 400,00 MM; ABA: COM; ALTURA DA ABA: 50,00 MM";400 x 50
LARGURA DE 200 x ABA 100mm;200 x 100
LARGURA DE 300 x ABA 100mm;300 x 100
LARGURA DE 400 x ABA 100mm;400 x 100
LARGURA DE 500 x ABA 100mm;500 x 100
LARGURA DE 600 x ABA 100mm;600 x 100
LARGURA DE 800 x ABA 100mm;800 x 100
LARGURA DE 1000 x ABA 100mm;1000 x 100
LARGURA DE 50 x ABA 50mm;50 x 50
LARGURA DE 100 x ABA 50mm;100 x 50
LARGURA DE 200 x ABA 50mm;200 x 50
LARGURA DE 300 x ABA 50mm;300 x 50
LARGURA DE 400 x ABA 50mm;400 x 50
LARGURA DE 150 x ABA 100mm;150 x 100
200(L) x100(A);200 x 100
300(L) x100(A);300 x 100
400(L) x100(A);400 x 100
500(L) x100(A);500 x 100
600(L) x100(A);600 x 100
800(L) x100(A);800 x 100
1000(L) x100(A);1000 x 100
50(L) x50(A);50 x 50
100(L) x50(A);100 x 50
200(L) x50(A);200 x 50
300(L) x50(A);300 x 50
400(L) x50(A);400 x 50
150(L) x100(A);150 x 100
3x25+1x16mm³;25
3x120mm²+1x70mm²;120
3 x 120 + 70mm2;120
3 X 1C # 25mm2 + 1C#16mm2;25
3/C#35+1/C#16mm²;35
6 - 35 mm2;6 - 35 mm2
16 - 50 mm2;16 - 50 mm2
35 - 70 mm2;35 - 70 mm2
10 - 25 mm2;10 - 25 mm2
25 - 70 mm2;25 - 70 mm2
70 - 120 mm2;70 - 120 mm2
16 - 70 mm2;16 - 70 mm2
6 - 35 mm²;6 - 35 mm2
16 - 50 mm²;16 - 50 mm2
35 - 70 mm²;35 - 70 mm2
10 - 25 mm²;10 - 25 mm2
25 - 70 mm²;25 - 70 mm2
70 - 120 mm²;70 - 120 mm2
16 - 70 mm²;16 - 70 mm2
6-35 mm2;6 - 35 mm2
16-50 mm2;16 - 50 mm2
35-70 mm2;35 - 70 mm2
10-25 mm2;10 - 25 mm2
25-70 mm2;25 - 70 mm2
70-120 mm2;70 - 120 mm2
16-70 mm2;16 - 70 mm2
6-35 mm²;6 - 35 mm2
16-50 mm²;16 - 50 mm2
35-70 mm²;35 - 70 mm2
10-25 mm²;10 - 25 mm2
25-70 mm²;25 - 70 mm2
70-120 mm²;70 - 120 mm2
16-70 mm²;16 - 70 mm2
10A;10A
15A;16A
16A;16A
20A;20A
32A;32A
63A;63A
10:00 AM;10A
15 A;16A
16 A ;16A
20 A;20A
32 A ;32A
63 A ;63A
2p +T;10A
1W;Até 40W
2W;Até 40W
3W;Até 40W
4W;Até 40W
5W;Até 40W
6W;Até 40W
7W;Até 40W
8W;Até 40W
9W;Até 40W
10W;Até 40W
11W;Até 40W
12W;Até 40W
13W;Até 40W
14W;Até 40W
15W;Até 40W
16W;Até 40W
17W;Até 40W
18W;Até 40W
19W;Até 40W
20W;Até 40W
21W;Até 40W
22W;Até 40W
23W;Até 40W
24W;Até 40W
25W;Até 40W
26W;Até 40W
27W;Até 40W
28W;Até 40W
29W;Até 40W
30W;Até 40W
31W;Até 40W
32W;Até 40W
33W;Até 40W
34W;Até 40W
35W;Até 40W
36W;Até 40W
37W;Até 40W
38W;Até 40W
39W;Até 40W
40W;Até 40W
41W;Entre 40W e 80W
42W;Entre 40W e 80W
43W;Entre 40W e 80W
44W;Entre 40W e 80W
45W;Entre 40W e 80W
46W;Entre 40W e 80W
47W;Entre 40W e 80W
48W;Entre 40W e 80W
49W;Entre 40W e 80W
50W;Entre 40W e 80W
51W;Entre 40W e 80W
52W;Entre 40W e 80W
53W;Entre 40W e 80W
54W;Entre 40W e 80W
55W;Entre 40W e 80W
56W;Entre 40W e 80W
57W;Entre 40W e 80W
58W;Entre 40W e 80W
59W;Entre 40W e 80W
60W;Entre 40W e 80W
61W;Entre 40W e 80W
62W;Entre 40W e 80W
63W;Entre 40W e 80W
64W;Entre 40W e 80W
65W;Entre 40W e 80W
66W;Entre 40W e 80W
67W;Entre 40W e 80W
68W;Entre 40W e 80W
69W;Entre 40W e 80W
70W;Entre 40W e 80W
71W;Entre 40W e 80W
72W;Entre 40W e 80W
73W;Entre 40W e 80W
74W;Entre 40W e 80W
75W;Entre 40W e 80W
76W;Entre 40W e 80W
77W;Entre 40W e 80W
78W;Entre 40W e 80W
79W;Entre 40W e 80W
80W;Entre 40W e 80W
81W;Entre 80W e 120W
82W;Entre 80W e 120W
83W;Entre 80W e 120W
84W;Entre 80W e 120W
85W;Entre 80W e 120W
86W;Entre 80W e 120W
87W;Entre 80W e 120W
88W;Entre 80W e 120W
89W;Entre 80W e 120W
90W;Entre 80W e 120W
91W;Entre 80W e 120W
92W;Entre 80W e 120W
93W;Entre 80W e 120W
94W;Entre 80W e 120W
95W;Entre 80W e 120W
96W;Entre 80W e 120W
97W;Entre 80W e 120W
98W;Entre 80W e 120W
99W;Entre 80W e 120W
100W;Entre 80W e 120W
101W;Entre 80W e 120W
102W;Entre 80W e 120W
103W;Entre 80W e 120W
104W;Entre 80W e 120W
105W;Entre 80W e 120W
106W;Entre 80W e 120W
107W;Entre 80W e 120W
108W;Entre 80W e 120W
109W;Entre 80W e 120W
110W;Entre 80W e 120W
111W;Entre 80W e 120W
112W;Entre 80W e 120W
113W;Entre 80W e 120W
114W;Entre 80W e 120W
115W;Entre 80W e 120W
116W;Entre 80W e 120W
117W;Entre 80W e 120W
118W;Entre 80W e 120W
119W;Entre 80W e 120W
120W;Entre 80W e 120W
121W;Entre 120W e 160W
122W;Entre 120W e 160W
123W;Entre 120W e 160W
124W;Entre 120W e 160W
125W;Entre 120W e 160W
126W;Entre 120W e 160W
127W;Entre 120W e 160W
128W;Entre 120W e 160W
129W;Entre 120W e 160W
130W;Entre 120W e 160W
131W;Entre 120W e 160W
132W;Entre 120W e 160W
133W;Entre 120W e 160W
134W;Entre 120W e 160W
135W;Entre 120W e 160W
136W;Entre 120W e 160W
137W;Entre 120W e 160W
138W;Entre 120W e 160W
139W;Entre 120W e 160W
140W;Entre 120W e 160W
141W;Entre 120W e 160W
142W;Entre 120W e 160W
143W;Entre 120W e 160W
144W;Entre 120W e 160W
145W;Entre 120W e 160W
146W;Entre 120W e 160W
147W;Entre 120W e 160W
148W;Entre 120W e 160W
149W;Entre 120W e 160W
150W;Entre 120W e 160W
151W;Entre 120W e 160W
152W;Entre 120W e 160W
153W;Entre 120W e 160W
154W;Entre 120W e 160W
155W;Entre 120W e 160W
156W;Entre 120W e 160W
157W;Entre 120W e 160W
158W;Entre 120W e 160W
159W;Entre 120W e 160W
160W;Entre 120W e 160W
1 W ;Até 40W
2 W ;Até 40W
3 W ;Até 40W
4 W ;Até 40W
5 W ;Até 40W
6 W ;Até 40W
7 W ;Até 40W
8 W ;Até 40W
9 W ;Até 40W
10 W ;Até 40W
11 W ;Até 40W
12 W ;Até 40W
13 W ;Até 40W
14 W ;Até 40W
15 W ;Até 40W
16 W ;Até 40W
17 W ;Até 40W
18 W ;Até 40W
19 W ;Até 40W
20 W ;Até 40W
21 W ;Até 40W
22 W ;Até 40W
23 W ;Até 40W
24 W ;Até 40W
25 W ;Até 40W
26 W ;Até 40W
27 W ;Até 40W
28 W ;Até 40W
29 W ;Até 40W
30 W ;Até 40W
31 W ;Até 40W
32 W ;Até 40W
33 W ;Até 40W
34 W ;Até 40W
35 W ;Até 40W
36 W ;Até 40W
37 W ;Até 40W
38 W ;Até 40W
39 W ;Até 40W
40 W ;Até 40W
41 W ;Entre 40W e 80W
42 W ;Entre 40W e 80W
43 W ;Entre 40W e 80W
44 W ;Entre 40W e 80W
45 W ;Entre 40W e 80W
46 W ;Entre 40W e 80W
47 W ;Entre 40W e 80W
48 W ;Entre 40W e 80W
49 W ;Entre 40W e 80W
50 W ;Entre 40W e 80W
51 W ;Entre 40W e 80W
52 W ;Entre 40W e 80W
53 W ;Entre 40W e 80W
54 W ;Entre 40W e 80W
55 W ;Entre 40W e 80W
56 W ;Entre 40W e 80W
57 W ;Entre 40W e 80W
58 W ;Entre 40W e 80W
59 W ;Entre 40W e 80W
60 W ;Entre 40W e 80W
61 W ;Entre 40W e 80W
62 W ;Entre 40W e 80W
63 W ;Entre 40W e 80W
64 W ;Entre 40W e 80W
65 W ;Entre 40W e 80W
66 W ;Entre 40W e 80W
67 W ;Entre 40W e 80W
68 W ;Entre 40W e 80W
69 W ;Entre 40W e 80W
70 W ;Entre 40W e 80W
71 W ;Entre 40W e 80W
72 W ;Entre 40W e 80W
73 W ;Entre 40W e 80W
74 W ;Entre 40W e 80W
75 W ;Entre 40W e 80W
76 W ;Entre 40W e 80W
77 W ;Entre 40W e 80W
78 W ;Entre 40W e 80W
79 W ;Entre 40W e 80W
80 W ;Entre 40W e 80W
81 W ;Entre 80W e 120W
82 W ;Entre 80W e 120W
83 W ;Entre 80W e 120W
84 W ;Entre 80W e 120W
85 W ;Entre 80W e 120W
86 W ;Entre 80W e 120W
87 W ;Entre 80W e 120W
88 W ;Entre 80W e 120W
89 W ;Entre 80W e 120W
90 W ;Entre 80W e 120W
91 W ;Entre 80W e 120W
92 W ;Entre 80W e 120W
93 W ;Entre 80W e 120W
94 W ;Entre 80W e 120W
95 W ;Entre 80W e 120W
96 W ;Entre 80W e 120W
97 W ;Entre 80W e 120W
98 W ;Entre 80W e 120W
99 W ;Entre 80W e 120W
100 W ;Entre 80W e 120W
101 W ;Entre 80W e 120W
102 W ;Entre 80W e 120W
103 W ;Entre 80W e 120W
104 W ;Entre 80W e 120W
105 W ;Entre 80W e 120W
106 W ;Entre 80W e 120W
107 W ;Entre 80W e 120W
108 W ;Entre 80W e 120W
109 W ;Entre 80W e 120W
110 W ;Entre 80W e 120W
111 W ;Entre 80W e 120W
112 W ;Entre 80W e 120W
113 W ;Entre 80W e 120W
114 W ;Entre 80W e 120W
115 W ;Entre 80W e 120W
116 W ;Entre 80W e 120W
117 W ;Entre 80W e 120W
118 W ;Entre 80W e 120W
119 W ;Entre 80W e 120W
120 W ;Entre 80W e 120W
121 W ;Entre 120W e 160W
122 W ;Entre 120W e 160W
123 W ;Entre 120W e 160W
124 W ;Entre 120W e 160W
125 W ;Entre 120W e 160W
126 W ;Entre 120W e 160W
127 W ;Entre 120W e 160W
128 W ;Entre 120W e 160W
129 W ;Entre 120W e 160W
130 W ;Entre 120W e 160W
131 W ;Entre 120W e 160W
132 W ;Entre 120W e 160W
133 W ;Entre 120W e 160W
134 W ;Entre 120W e 160W
135 W ;Entre 120W e 160W
136 W ;Entre 120W e 160W
137 W ;Entre 120W e 160W
138 W ;Entre 120W e 160W
139 W ;Entre 120W e 160W
140 W ;Entre 120W e 160W
141 W ;Entre 120W e 160W
142 W ;Entre 120W e 160W
143 W ;Entre 120W e 160W
144 W ;Entre 120W e 160W
145 W ;Entre 120W e 160W
146 W ;Entre 120W e 160W
147 W ;Entre 120W e 160W
148 W ;Entre 120W e 160W
149 W ;Entre 120W e 160W
150 W ;Entre 120W e 160W
151 W ;Entre 120W e 160W
152 W ;Entre 120W e 160W
153 W ;Entre 120W e 160W
154 W ;Entre 120W e 160W
155 W ;Entre 120W e 160W
156 W ;Entre 120W e 160W
157 W ;Entre 120W e 160W
158 W ;Entre 120W e 160W
159 W ;Entre 120W e 160W
160 W ;Entre 120W e 160W
Cartucho 45;N° 45
Cartucho 65;N° 65
Cartucho 90;N° 90
Cartucho 115;N° 115
Cartucho 200;N° 200
Cartucho 250;N° 250
Cart. 45;N° 45
Cart. 65;N° 65
Cart. 90;N° 90
Cart. 115;N° 115
Cart. 200;N° 200
Cart. 250;N° 250
Cartucho: 45;N° 45
Cartucho: 65;N° 65
Cartucho: 90;N° 90
Cartucho: 115;N° 115
Cartucho: 200;N° 200
Cartucho: 250;N° 250
N° 45;N° 45
N° 65;N° 65
N° 90;N° 90
N° 115;N° 115
N° 200;N° 200
N° 250;N° 250
Referência 45;N° 45
Referência 65;N° 65
Referência 90;N° 90
Referência 115;N° 115
Referência 200;N° 200
Referência 250;N° 250
Número 45;N° 45
Número 65;N° 65
Número 90;N° 90
Número 115;N° 115
Número 200;N° 200
Número 250;N° 250
Numero 45;N° 45
Numero 65;N° 65
Numero 90;N° 90
Numero 115;N° 115
Numero 200;N° 200
Numero 250;N° 250
Cartucho de Plástico 45;N° 45
Cartucho de Plástico 65;N° 65
Cartucho de Plástico 90;N° 90
Cartucho de Plástico 115;N° 115
Cartucho de Plástico 200;N° 200
Cartucho de Plástico 250;N° 250
6 a 35 mm2;6 - 35 mm2
16 a 50 mm2;16 - 50 mm2
35 a 70 mm2;35 - 70 mm2
10 a 25 mm2;10 - 25 mm2
25 a 70 mm2;25 - 70 mm2
70 a 120 mm2;70 - 120 mm2
16 a 70 mm2;16 - 70 mm2
6 a 35 mm²;6 - 35 mm2
16 a 50 mm²;16 - 50 mm2
35 a 70 mm²;35 - 70 mm2
10 a 25 mm²;10 - 25 mm2
25 a 70 mm²;25 - 70 mm2
70 a 120 mm²;70 - 120 mm2
16 a 70 mm²;16 - 70 mm2
6 mm2 - 35 mm2;6 - 35 mm2
16 mm2 - 50 mm2;16 - 50 mm2
35  mm2 - 70 mm2;35 - 70 mm2
10 mm2 - 25 mm2;10 - 25 mm2
25 mm2 - 70 mm2;25 - 70 mm2
70 mm2 - 120 mm2;70 - 120 mm2
16 mm2 - 70 mm2;16 - 70 mm2
6 mm2 - 35 mm²;6 - 35 mm2
16 mm2 - 50 mm²;16 - 50 mm2
35 mm2 - 70 mm²;35 - 70 mm2
10 mm2 - 25 mm²;10 - 25 mm2
25 mm2 - 70 mm²;25 - 70 mm2
70 mm2 - 120 mm²;70 - 120 mm2
16 mm2 - 70 mm²;16 - 70 mm2
6 mm2-35 mm2;6 - 35 mm2
16 mm2-50 mm2;16 - 50 mm2
