Termo;Descrição Padrão
"diam 11/2""";"1.1/2"""
"diam 1 1/2""";"1.1/2"""
"diam 1/2""";"1/2"""
"diam 2""";"2"""
"diam 1""";"1"""
"diam 1/4""";"1/4"""
"0.75""";"3/4"""
"1.25""";"1.1/4"""
"1.5""";"1.1/2"""
"2.5""";"2.1/2"""
"diam6""";"6"""
"diam1.1/4""";"1.1/4"""
"diam1 1/4""";"1.1/4"""
"diam11/4""";"1.1/4"""
"diam3/4""";"3/4"""
"diam4""";"4"""
"diam3""";"3"""
"diam2.1/2""";"2.1/2"""
"diam2 1/2""";"2.1/2"""
"diam21/2""";"2.1/2"""
"diam1.1/2""";"1.1/2"""
"diam1 1/2""";"1.1/2"""
"diam11/2""";"1.1/2"""
"diam1/2""";"1/2"""
"diam2""";"2"""
"diam1""";"1"""
"diam1/4""";"1/4"""
diam 150;"6"""
diam 100;"4"""
diam 80;"3"""
diam 65;"2.1/2"""
diam 50;"2"""
diam 40;"1.1/2"""
diam 32;"1.1/4"""
diam 25;"1"""
diam 20;"3/4"""
diam 15;"1/2"""
diam 10;"1/2"""
diam150;"6"""
diam100;"4"""
diam80;"3"""
diam65;"2.1/2"""
diam50;"2"""
diam40;"1.1/2"""
diam32;"1.1/4"""
diam25;"1"""
diam20;"3/4"""
diam15;"1/2"""
diam10;"1/2"""
"2""1/2";"2.1/2"""
"2""1/2""";"2.1/2"""
"1""1/2""";"1.1/2"""
"1""1/2";"1.1/2"""
dn 160;"6"""
dn 110;"4"""
dn 85;"3"""
dn 75;"2.1/2"""
dn 60;"2"""
dn 50;"1.1/2"""
dn 40;"1.1/4"""
dn 32;"1"""
dn 25;"3/4"""
dn 20;"1/2"""
dn160;"6"""
dn110;"4"""
dn85;"3"""
dn75;"2.1/2"""
dn60;"2"""
dn50;"1.1/2"""
dn40;"1.1/4"""
dn32;"1"""
dn25;"3/4"""
dn20;"1/2"""
"6""x";"6"""
"1.1/4""x";"1.1/4"""
"1 1/4""x";"1.1/4"""
"11/4""x";"1.1/4"""
"3/4""x";"3/4"""
"4""x";"4"""
"3""x";"3"""
"2.1/2""x";"2.1/2"""
"2 1/2""x";"2.1/2"""
"21/2""x";"2.1/2"""
"1.1/2""x";"1.1/2"""
"1 1/2""x";"1.1/2"""
"11/2""x";"1.1/2"""
"1/2""x";"1/2"""
"2""x";"2"""
"1""x";"1"""
"1/4""x";"1/4"""
" 6"" x";"6"""
"1.1/4"" x";"1.1/4"""
" 1 1/4"" x";"1.1/4"""
"11/4"" x";"1.1/4"""
"3/4"" x";"3/4"""
"4"" x";"4"""
"3"" x";"3"""
"2.1/2"" x";"2.1/2"""
"2 1/2"" x";"2.1/2"""
"21/2"" x";"2.1/2"""
"1.1/2"" x";"1.1/2"""
"1 1/2"" x";"1.1/2"""
"11/2"" x";"1.1/2"""
"1/2"" x";"1/2"""
